Voornaam;Naam;Affiliatie;E-mail;Website;Verkeersborden;
 Bert  ; Boterbergh ; Agentschap Wegen en Verkeer ;;;A;
 Johan  ; Delaure ; redpencil.io ;;;A;
 Christophe  ; Parrein ; PwC ;;;A;
 Stephen  ; Tuerlinckx ; Departement Mobiliteit en Openbare Werken ;;;A;
 Mathias  ; Van Compernolle ; imec-MICT-UGent ;;;A;
 Brecht  ; Van de Vyvere ; imec - UGent ;;;A;
 Frederik  ; Van Eeghem ; PwC ;;;A;
 Geert  ; Van Gaever ; Agentschap Wegen en Verkeer ;;;A;
 Eveline  ; Vlassenroot ; imec - UGent ;;;A;
 Brecht  ; Wyns ; PwC ;;;A;
 Katrien  ; De Smet ; Informatie Vlaanderen ;;;C;
 Veronique  ; Volders ; Agentschap Binnenlands Bestuur ;;;C;
